ImageName,ImageSize,TTX,OutputReported,Seals,UnitID
"""WV03_20170908012057_1040010031D43000_17SEP08012057-P1BS-501669354050_01_P002_u08rf3031.tif"".tif",665,180.37770009040833,69.0,0,5005
"""WV03_20171230044726_1040010036CE2B00_17DEC30044726-P1BS-501968321010_01_P005_u08rf3031.tif"".tif",1011,183.10369992256165,87.0,8,3497
"""WV03_20171213131708_1040010036439D00_17DEC13131708-P1BS-501954010060_01_P005_u08rf3031.tif"".tif",301,143.19559979438782,62.0,43,5191
"""WV03_20171022030355_1040010035184800_17OCT22030355-P1BS-501862244090_01_P001_u08rf3031.tif"".tif",599,156.80299997329712,56.0,0,3503
"""WV03_20171122142730_10400100357EAB00_17NOV22142730-P1BS-501932169090_01_P006_u08rf3031.tif"".tif",2059,280.98359990119934,156.0,26,3574
"""WV03_20170904051059_1040010031829E00_17SEP04051059-P1BS-501669237100_01_P003_u08rf3031.tif"".tif",972,197.2797999382019,100.0,0,5072
"""WV03_20171023000543_10400100335C5B00_17OCT23000543-P1BS-501862017040_01_P005_u08rf3031.tif"".tif",1311,209.21370005607605,120.0,5,4610
"""WV03_20171229042855_1040010035CF1800_17DEC29042855-P1BS-501934395010_01_P008_u08rf3031.tif"".tif",1199,162.094899892807,60.0,0,6124
"""WV03_20170920204134_104001003247F500_17SEP20204134-P1BS-501946234090_01_P001_u08rf3031.tif"".tif",1172,170.7156000137329,67.0,1,4784
"""WV03_20171107183427_1040010034466600_17NOV07183427-P1BS-501917427100_01_P002_u08rf3031.tif"".tif",1405,163.52409982681274,61.0,0,6153
"""WV03_20170913171345_1040010032983500_17SEP13171345-P1BS-501946249040_01_P001_u08rf3031.tif"".tif",1427,146.7047998905182,56.0,28,4667
"""WV03_20170901221125_10400100318B7500_17SEP01221125-P1BS-501669238100_01_P005_u08rf3031.tif"".tif",943,151.46029996871948,79.0,1,4689
"""WV03_20171119133622_10400100350CBE00_17NOV19133622-P1BS-501920249090_01_P008_u08rf3031.tif"".tif",1643,178.1182999610901,80.0,0,6029
"""WV03_20171230142737_10400100368CCB00_17DEC30142737-P1BS-501956589010_01_P004_u08rf3031.tif"".tif",1448,177.00450015068054,69.0,261,5175
"""WV03_20171006003112_1040010034474500_17OCT06003112-P1BS-501862152100_01_P005_u08rf3031.tif"".tif",2211,266.3605999946594,162.0,19,3829
"""WV03_20170717230410_104001002F103B00_17JUL17230410-P1BS-501497929030_01_P002_u08rf3031.tif"".tif",722,272.22040009498596,173.0,0,3473
"""WV03_20171007183802_1040010033051A00_17OCT07183802-P1BS-501861939020_01_P001_u08rf3031.tif"".tif",1917,213.28129982948303,111.0,4,5096
