ImageName,ImageSize,TTX,OutputReported,Tiles,UnitID
WV03_20171114054618_104001003511DF00_17NOV14054618-P1BS-501920253090_01_P001_u08rf3031.tif,1712,100.39520001411438,98.25,21579,2014
WV03_20170818231624_10400100317D4700_17AUG18231624-P1BS-501946162020_01_P003_u08rf3031.tif,436,58.06620001792908,55.94,19777,1142
WV03_20171227023120_104001003625B800_17DEC27023120-P1BS-501953989100_01_P007_u08rf3031.tif,1658,80.23710012435913,78.3,20250,1135
WV03_20170929225813_10400100338A4A00_17SEP29225813-P1BS-501946335030_01_P001_u08rf3031.tif,1341,87.43910002708435,85.42,20022,1038
WV03_20171014135557_1040010033272E00_17OCT14135557-P1BS-501861946040_01_P002_u08rf3031.tif,1887,93.98590016365051,90.07,21035,627
WV03_20171122142833_10400100354FE400_17NOV22142833-P1BS-501932119060_01_P004_u08rf3031.tif,1368,78.11619997024536,76.14,20437,2113
WV03_20171214182528_1040010036D5C900_17DEC14182528-P1BS-501968327070_01_P006_u08rf3031.tif,906,126.95060014724731,123.74,19657,2087
WV03_20180105111831_1040010036878900_18JAN05111831-P1BS-501956520100_01_P007_u08rf3031.tif,1227,106.03449988365173,103.89,19808,2164
WV03_20171225001227_104001003614F700_17DEC25001227-P1BS-501934412050_01_P001_u08rf3031.tif,1007,77.69999980926514,75.59,18051,650
WV03_20180110140224_104001003529FE00_18JAN10140224-P1BS-501922394090_01_P004_u08rf3031.tif,885,77.5920000076294,75.56,18929,2069
WV03_20171016030708_1040010033B11900_17OCT16030708-P1BS-501862035010_01_P001_u08rf3031.tif,698,67.69260001182556,65.77,20432,1928
WV03_20171107103055_1040010034C12D00_17NOV07103055-P1BS-501920105050_01_P006_u08rf3031.tif,1080,101.97359991073608,99.97,23328,1572
WV03_20170613123938_104001002DB9B700_17JUN13123938-P1BS-501461502070_01_P007_u08rf3031.tif,494,92.96970009803772,90.74,23514,1505
WV03_20171012213112_10400100347FF900_17OCT12213112-P1BS-501862226080_01_P006_u08rf3031.tif,1938,122.66449999809265,120.65,22073,1491
WV03_20180108200346_1040010035B17E00_18JAN08200346-P1BS-501934292060_01_P001_u08rf3031.tif,658,60.25789999961853,58.31,20943,1825
WV03_20171215072152_1040010036C3CB00_17DEC15072152-P1BS-501968314010_01_P002_u08rf3031.tif,1077,82.33350014686584,79.8,20166,1852
WV03_20171102203206_1040010032524300_17NOV02203206-P1BS-501896674080_01_P001_u08rf3031.tif,1062,70.51370000839233,68.62,19579,1408
WV03_20171225082826_1040010036710B00_17DEC25082826-P1BS-501956505080_01_P001_u08rf3031.tif,1977,83.9458999633789,80.62,19319,2979
WV03_20171129175047_10400100358FFC00_17NOV29175047-P1BS-501932181010_01_P005_u08rf3031.tif,2024,93.52670001983643,91.53,24309,383
WV03_20170925184437_104001003243ED00_17SEP25184437-P1BS-501946233030_01_P002_u08rf3031.tif,1868,344.44840002059937,342.38,22486,2523
WV03_20171115074442_10400100340E0F00_17NOV15074442-P1BS-501896786060_01_P008_u08rf3031.tif,1902,103.02660012245178,100.95,20528,217
WV03_20171120103850_104001003449C900_17NOV20103850-P1BS-501917428070_01_P008_u08rf3031.tif,1496,84.80360007286072,82.82,21430,260
